总价(万),单价(元/平米),房型,楼层,朝向,户型结构,装修情况,总面积,建造时间,小区名称,地区,是否有电梯,建筑结构,梯户比例,total_price,unit_price,total_area,build_year,community,district,room_cnt,hall_cnt,toilet_cnt,floor_level,floor_code,direction_clean,is_south_facing,decoration_type,decoration_score,area_range,house_age,age_range,price_level,elevator_num,household_num,density,is_valid
82.0,7766,3室2厅1卫,高楼层,南,平层,其他,105.6,2017,楚天世纪城西苑,长沙县,有,钢混结构,其他,82.0,7766,105.6,2017,楚天世纪城西苑,长沙县,3,2,1,高楼层,3,正南,1,其他,0,中户型(90-144㎡),9,次新房(6-10年),豪宅,,,,1
118.0,9204,3室2厅2卫,低楼层,西南,平层,其他,128.21,2019,恒大御景天下二期,开福,有,钢混结构,两梯三户,118.0,9204,128.21,2019,恒大御景天下二期,开福,3,2,2,低楼层,1,西南,1,其他,0,中户型(90-144㎡),7,次新房(6-10年),豪宅,,,,1
87.5,7000,4室2厅2卫,高楼层,南北,平层,其他,125.0,2013,中梁星都荟,长沙县,有,钢混结构,其他,87.5,7000,125.0,2013,中梁星都荟,长沙县,4,2,2,高楼层,3,南北通透,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
120.0,10004,4室2厅2卫,中楼层,南,平层,毛坯,119.96,2013,北辰中央公园,天心,有,砖混结构,两梯四户,120.0,10004,119.96,2013,北辰中央公园,天心,4,2,2,中楼层,2,正南,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
95.0,6999,4室2厅2卫,高楼层,南北,平层,精装,135.75,2013,君合新城玺樾,长沙县,有,钢混结构,其他,95.0,6999,135.75,2013,君合新城玺樾,长沙县,4,2,2,高楼层,3,南北通透,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
78.0,8833,3室2厅1卫,低楼层,南,平层,精装,88.31,2016,长房半岛蓝湾二期,雨花,有,钢混结构,两梯四户,78.0,8833,88.31,2016,长房半岛蓝湾二期,雨花,3,2,1,低楼层,1,正南,1,精装,3,小户型(<90㎡),10,次新房(6-10年),豪宅,,,,1
106.0,9282,3室2厅2卫,低楼层,南,平层,精装,114.21,2014,华润置地橡树湾,岳麓,有,钢混结构,两梯四户,106.0,9282,114.21,2014,华润置地橡树湾,岳麓,3,2,2,低楼层,1,正南,1,精装,3,中户型(90-144㎡),12,老房(11-20年),豪宅,,,,1
129.8,10829,3室2厅2卫,中楼层,南,平层,其他,119.87,2013,黄土岭烟草宿舍,雨花,有,钢混结构,两梯六户,129.8,10829,119.87,2013,黄土岭烟草宿舍,雨花,3,2,2,中楼层,2,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
197.5,14630,4室2厅2卫,中楼层,南,平层,其他,135.0,2013,珠江好世界,开福,有,钢混结构,两梯四户,197.5,14630,135.0,2013,珠江好世界,开福,4,2,2,中楼层,2,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
44.8,5807,2室2厅1卫,低楼层,南,平层,其他,77.16,2009,未来蜂巢,长沙县,有,钢混结构,两梯四户,44.8,5807,77.16,2009,未来蜂巢,长沙县,2,2,1,低楼层,1,正南,1,其他,0,小户型(<90㎡),17,老房(11-20年),豪宅,,,,1
108.0,9094,4室2厅2卫,高楼层,南,平层,其他,118.77,2014,公园尚,岳麓,有,钢混结构,两梯四户,108.0,9094,118.77,2014,公园尚,岳麓,4,2,2,高楼层,3,正南,1,其他,0,中户型(90-144㎡),12,老房(11-20年),豪宅,,,,1
138.0,13694,3室2厅2卫,低楼层,南,平层,其他,100.78,2013,万科魅力之城,雨花,有,钢混结构,三梯五户,138.0,13694,100.78,2013,万科魅力之城,雨花,3,2,2,低楼层,1,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,3.0,5.0,1.6666666666666667,1
186.0,14070,3室2厅2卫,中楼层,南北,平层,精装,132.2,2013,梦想新天地,岳麓,有,钢混结构,两梯四户,186.0,14070,132.2,2013,梦想新天地,岳麓,3,2,2,中楼层,2,南北通透,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
136.0,15455,3室2厅1卫,低楼层,南,平层,其他,88.0,2016,金茂悦,岳麓,有,钢混结构,两梯四户,136.0,15455,88.0,2016,金茂悦,岳麓,3,2,1,低楼层,1,正南,1,其他,0,小户型(<90㎡),10,次新房(6-10年),豪宅,,,,1
74.0,7261,3室2厅2卫,高楼层,南,平层,精装,101.92,2013,澳海望洲府,望城,有,钢混结构,其他,74.0,7261,101.92,2013,澳海望洲府,望城,3,2,2,高楼层,3,正南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
